title,region,publisher,productId,upc,releaseDate,rating
Defender II,US,HAL Labs,NES-SB,040458200034,July 1988,
Defender of the Crown,US,Ultra,NES-U3,,July 1989,
Defenders of Dynatron City,US,"JVC Musical Industries, Inc.",NES-DY,009119920117,July 1992,
Deja Vu,US,Seika Corp.,NES-DG,044499000110,December 1990,
Demon Sword,US,Taito Corporation,NES-DO,,January 1990,
Derby Stallion Zengokuban,JP,ASCII Entertainment,HSP-47,4988606100545,08/29/92,
Desert Commander,US,Kemco,NES-DF,,June 1989,
Destination Earthstar,US,Acclaim,NES-VW-USA,,February 1990,
Destiny of an Emperor,US,Capcom,NES-YZ,013388110230,September 1990,
Devil Man,JP,Namco,,4907892000582,04/25/89,
Devil World,EU,Nintendo,NES-DD,,07/15/87,
Dezaemon,JP,Athena,ATH-87,4988679000117,09/13/91,
Dick Tracy,US,Bandai,NES-3Y,045557072704,August 1990,
Die Hard,US,Activision,NES-57-USA,047875700116,January 1992,
Dig Dug,US,Namco Bandai Games,FEDE,Virtual Console Wii,06/09/08,E
Dig Dug II: Trouble In Paradise,US,Bandai,NES-I2,045557082000,December 1989,
Digger T. Rock: The Legend of the Lost City,US,Milton Bradley,NES-8D,,December 1990,
Digital Devil Monogatari: Megami Tensei,JP,Namco,NAM-MT-4900,4907892000308,09/11/87,
Digital Devil Monogatari: Megami Tensei II,JP,Namco,,4907892000681,04/06/90,
Dino Hockey,US,SunSoft,,,Canceled,
Dirty Harry,US,Mindscape,NES-2Y,050047104803,December 1990,
Disney Adventures in the Magic Kingdom,US,Capcom,NES-VD-USA,,June 1990,
Disney's Aladdin,EU,Virgin Interactive,NES-AJ-NOE,5028587060014,1994,
Disney's Chip 'n Dale: Rescue Rangers,US,Capcom,NES-RU,013388110209,June 1990,
Disney's Chip 'n Dale: Rescue Rangers 2,US,Capcom,NES-DV,013388110346,January 1994,
Disney's Darkwing Duck,US,Capcom,NES-DZ,013388110315,June 1992,
Disney's DuckTales,US,Capcom,NES-UK,013388110162,September 1989,
Disney's DuckTales 2,US,Capcom,NES-DL,013388110360,June 1993,
Disney's TaleSpin,US,Capcom,NES-68,013388110261,December 1991,
Disney's The Jungle Book,US,Virgin Interactive,NES-JJ,,August 1994,
Disney's The Lion King,EU,Virgin Interactive,NES-KL-UKV,,05/25/95,
Disney's The Little Mermaid,US,Capcom,NES-3U-USA,,July 1991,
Dizzy the Adventurer (w/ Aladdin Deck Enhancer),US,Camerica,,,1993,
Dokuganryu Masamune,JP,Namco,,4907892000384,04/05/88,
Don Doko Don,JP,Taito Corporation,TFC-DD-5900,4988611890141,03/09/90,
Don Doko Don 2,JP,Taito Corporation,TFC-DD2-5900,4988611910191,01/31/92,
Donald Land,JP,Data East,DFC-DX,4961082610050,01/29/88,
Donkey Kong,US,Nintendo,NES-DK,045496630218,June 1986,
Donkey Kong 3,US,Nintendo,NES-DT,045496630256,June 1986,
Donkey Kong Classics,US,Nintendo,NES-DJ,045496630423,October 1988,
Donkey Kong Jr.,US,Nintendo,NES-JR,045496630225,June 1986,
Donkey Kong Jr. Math,US,Nintendo,NES-CA,,October 1985,
Donkey Kong no Ongaku Asobi,JP,Nintendo,,,Canceled,
Door Door,JP,Enix Corporation,EFC-DR,4988101028207,07/18/85,
Doraemon,JP,Hudson,HFC-DO,4988607000196,12/12/86,
Doraemon: Giga Zombie no Gyakushuu,JP,Epoch,EPO-E5,4905040095305,09/14/90,
Double Dare,US,GameTek,NES-2D,,April 1990,
Double Dragon,US,Tradewest,NES-WD-USA,031719198832,June 1988,
Double Dragon II: The Revenge,US,Acclaim,NES-W2-USA,021481106029,January 1990,
Double Dragon III: The Sacred Stones,US,Acclaim,NES-3W-USA,021481106050,February 1991,
Double Dribble,US,Konami,NES-DW,083717110057,September 1987,
Double Moon Densetsu,JP,NCS,NCS-1T,4988616007018,10/30/92,
